Irrep 	 alpha 	 beta 	 name 	 coefficient 	  p^1 	 p^2 	 q
A1g	1	1	C4x-	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	C4y-	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	C4z-	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	C2a`	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	C2b`	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	C2c`	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	C2d`	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	C2e`	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	C2f`	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	i	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	sigma_x	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	sigma_y	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	sigma_z	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S61-	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S62-	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S63-	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S64-	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S61+	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S62+	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S63+	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S64+	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S4x-	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S4y-	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S4z-	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S4x+	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S4y+	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	S4z+	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	sigma_d1	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	sigma_d2	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	sigma_d3	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	sigma_d4	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	sigma_d5	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	sigma_d6	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(-1.000000, 1.000000, 0.000000)"
A1g	1	1	E	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C2x	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C2y	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C2z	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C31+	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C32+	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C33+	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C34+	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C31-	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C32-	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C33-	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C34-	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C4x+	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C4y+	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C4z+	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C4x-	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C4y-	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C4z-	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C2a`	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C2b`	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C2c`	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C2d`	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C2e`	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	C2f`	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	i	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	sigma_x	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	sigma_y	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	sigma_z	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S61-	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S62-	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S63-	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S64-	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S61+	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S62+	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S63+	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S64+	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S4x-	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S4y-	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S4z-	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S4x+	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S4y+	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	S4z+	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	sigma_d1	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	sigma_d2	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	sigma_d3	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	sigma_d4	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	sigma_d5	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	sigma_d6	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, -1.000000, 0.000000)"
A1g	1	1	E	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C2x	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C2y	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C2z	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C31+	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C32+	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C33+	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C34+	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C31-	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C32-	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C33-	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C34-	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C4x+	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C4y+	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C4z+	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C4x-	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C4y-	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C4z-	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C2a`	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C2b`	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C2c`	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C2d`	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C2e`	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	C2f`	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	i	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_x	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_y	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_z	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S61-	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S62-	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S63-	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S64-	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S61+	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S62+	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S63+	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S64+	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S4x-	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S4y-	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S4z-	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S4x+	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S4y+	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	S4z+	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_d1	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_d2	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_d3	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_d4	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_d5	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_d6	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, 1.000000)"
A1g	1	1	E	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C2x	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C2y	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C2z	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C31+	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C32+	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C33+	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C34+	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C31-	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C32-	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C33-	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C34-	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C4x+	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C4y+	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C4z+	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C4x-	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C4y-	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C4z-	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C2a`	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C2b`	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C2c`	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C2d`	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C2e`	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	C2f`	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	i	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	sigma_x	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	sigma_y	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	sigma_z	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S61-	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S62-	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S63-	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S64-	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S61+	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S62+	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S63+	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S64+	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S4x-	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S4y-	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S4z-	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S4x+	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S4y+	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	S4z+	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	sigma_d1	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	sigma_d2	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	sigma_d3	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	sigma_d4	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	sigma_d5	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	sigma_d6	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(1.000000, 0.000000, -1.000000)"
A1g	1	1	E	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C2x	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C2y	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C2z	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C31+	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C32+	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C33+	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C34+	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C31-	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C32-	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C33-	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C34-	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C4x+	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C4y+	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C4z+	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C4x-	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C4y-	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C4z-	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C2a`	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C2b`	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C2c`	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C2d`	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C2e`	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	C2f`	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	i	1/48	"(1, 0, -1)"	"(-1, 0, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_x	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_y	1/48	"(-1, 0, 1)"	"(1, 0, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_z	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S61-	1/48	"(-1, 1, 0)"	"(1, -1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S62-	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S63-	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S64-	1/48	"(-1, -1, 0)"	"(1, 1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S61+	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S62+	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S63+	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S64+	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S4x-	1/48	"(1, 1, 0)"	"(-1, -1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S4y-	1/48	"(-1, 0, -1)"	"(1, 0, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S4z-	1/48	"(0, 1, -1)"	"(0, -1, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S4x+	1/48	"(1, -1, 0)"	"(-1, 1, 0)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S4y+	1/48	"(1, 0, 1)"	"(-1, 0, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	S4z+	1/48	"(0, -1, -1)"	"(0, 1, 1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_d1	1/48	"(0, 1, 1)"	"(0, -1, -1)"	"(-1.000000, 0.000000, 1.000000)"
A1g	1	1	sigma_d2	1/48	"(0, -1, 1)"	"(0, 1, -1)"	"(-1.000000, 0.000000, 1.000000)"
